OrderID,CustomerID,ProductID,ProductName,Category,Price,Quantity,OrderDate,DeliveryDate,PaymentMethod
,e634dd5e-5fab-454f-a243-94c69574c0b5,APPL-00002,Table,Appliances,200,3,5/9/2020,,PayPal
15bdc4db-66bd-452d-9329-39f8aba917a1,,APPL-00002,Table,Appliances,200,10,4/2/2021,,Credit Card
740adfd3-b104-4b3f-b45e-f029a00410b5,f7bdf6e6-5c46-4adb-86f4-0d966d24d796,INST-00005,Piano,Instruments,5000,1,12/9/2020,,Cash
4827d46d-6459-49a8-bd4c-49f8eebc9c3e,2d716158-ab11-4375-9da1-604afcff037a,ELEC-00001,,Electronics,800,3,5/8/2022,,PayPal
a8adf0b5-0f83-46fe-82d9-a78d8a865288,8348962d-a3be-49a5-b750-d5d13f8e6abc,ELEC-00003,Laptop B,Electronics,2000,1,7/31/2022,8/8/2022,PayPal
f58317e1-6a5e-4bed-9342-17b10f643f3a,98e02211-5beb-4170-9805-2e24678e9d86,APPL-00012,Freezer,Appliances,800,5,6/27/2020,7/6/2020,Credit Card
,8b75c6f3-9c57-4ec1-81ab-17e1e0dd7943,CLOT-00004,T-Shirt,Clothes,20,6,,,PayPal
,fe092a32-7022-41da-95de-d4df44921bc0,APPL-00008,TV,Appliances,,3,5/3/2021,5/9/2021,PayPal
2420f7b8-9497-45f9-ab0f-a861eb73e80c,e634dd5e-5fab-454f-a243-94c69574c0b5,INST-00005,Piano,Instruments,5000,4,11/28/2020,12/7/2020,PayPal
14418082-c81e-4bb3-b90d-0c235fec9dc4,164fe5b0-4002-414e-a14b-ac51ed1535b4,CLOT-00002,Skirt,Clothes,50,3,10/8/2022,10/8/2022,Cash
cbd98d45-e142-43a9-9cd3-d9d1a6098214,12336fe0-9b97-4f86-a529-39417e5372d1,APPL-00011,Microwave,Appliances,200,8,1/24/2021,1/29/2021,PayPal
531bbe12-9481-4ee3-ae76-a2e4c894dba3,854dc2ff-81a6-49c0-af8e-2b4a9268165d,ELEC-00003,Laptop B,Electronics,2000,1,12/10/2020,12/18/2020,Cash
62212ed3-3a98-4e94-82f2-b403bed46261,0e18f3b4-8821-406a-a34d-598e6f5b42b1,ELEC-00004,Tablet A,Electronics,400,5,4/24/2022,4/24/2022,Credit Card
c0e7eba3-73ae-48aa-a6ad-70a3a01b20ad,9f73510c-1871-4b35-bc85-4c1c3f7e4307,APPL-00009,Fridge,Appliances,1000,7,8/27/2020,,
1682b560-1c3d-4b60-b14c-adc6f7975cbf,c8f59fc1-0444-4a5c-b6a5-238d607f8785,INST-00001,Guitar,Instruments,500,1,,,
1542c9b2-8269-409c-a9f4-37a4af4e8e8e,e634dd5e-5fab-454f-a243-94c69574c0b5,CLOT-00004,T-Shirt,Clothes,20,,3/13/2021,3/17/2021,Credit Card
5a3370e1-bb36-4f2d-b420-8f88204e978c,4ed57585-c530-48b7-866e-e6d4462c7526,CLOT-00002,Skirt,Clothes,50,6,6/1/2020,6/2/2020,Cash
3e1a8b72-4aa6-4bdb-ae82-a906d644bc96,cdf5576d-04cc-4a14-8978-2bdb22c26576,APPL-00002,Table,Appliances,200,10,12/22/2022,12/30/2022,Credit Card
94339915-ca46-4c53-b4c7-d72e7c78ee89,8afff3af-6754-42de-80a5-8ec064952f6f,APPL-00003,,Appliances,500,,2/16/2022,2/17/2022,PayPal
53b841ce-9d2a-4311-bef7-7e9dcc737cd1,f7ee2cb6-5ce2-413f-8b46-949461b4e756,INST-00005,Piano,Instruments,5000,10,7/26/2020,7/27/2020,Credit Card
e2fbc51f-171d-4a80-9c60-e42999013aca,e89a2dd1-d9d7-4988-9714-cd19a1efc92c,ELEC-00003,Laptop B,Electronics,2000,8,9/5/2022,9/14/2022,
6f726da8-e575-4c67-9465-ee30057238b6,98e02211-5beb-4170-9805-2e24678e9d86,INST-00002,Drum,Instruments,1000,9,3/21/2020,3/27/2020,PayPal
3f16822f-f21f-4b6a-85e6-378c6aaa4989,64b80567-a602-4ff8-9d72-782005b3e49c,INST-00005,Piano,Instruments,5000,4,3/1/2022,3/9/2022,PayPal
,94cb434f-c290-450d-88ba-a84b20992d60,ELEC-00005,Tablet B,Electronics,800,8,8/5/2023,8/5/2023,Cash
0248d7c6-939d-47d0-8d08-67833be4780a,98e02211-5beb-4170-9805-2e24678e9d86,CLOT-00002,Skirt,Clothes,50,7,10/10/2022,10/12/2022,
1585ad16-fcaa-483f-b69a-cee0705ecd97,652de66f-bc12-4500-b948-4246309371a8,APPL-00008,TV,Appliances,1000,3,,,Credit Card
af2bb0c1-73e1-4251-8680-2493c5e1a39e,3af302b1-7ee9-4074-93b9-41eb25d9f550,APPL-00001,Chair,Appliances,50,9,3/16/2020,3/24/2020,Credit Card
d46edf22-21b3-485e-98ec-9ddae2f98b0f,4cb86145-6b0a-413c-bbd4-8145fdcbc6c7,ELEC-00001,Phone X,Electronics,800,2,,,PayPal
591f5d02-797a-4756-986d-fbf151a20460,7a9dcbb1-663e-4ffc-999c-4f593a1459a4,APPL-00010,AC,Appliances,800,10,5/17/2022,5/17/2022,Credit Card
c3d77180-9511-4d19-bb0b-fcdff11c5684,031c46f3-d7e1-4d5f-800c-132f7cc30198,INST-00004,Flute,Instruments,100,4,10/6/2021,10/14/2021,Credit Card
81976f71-a233-4449-b9dd-d975df1230d0,423b9749-80b6-4a48-a18a-5c6481b34f96,APPL-00003,Wardrobe,Appliances,500,6,6/2/2022,,PayPal
3eec2fd4-89b1-4c8c-8637-768ee22fee1c,ea58781d-fbe3-4f15-9c5e-9eb4f5a28e18,ELEC-00002,Laptop A,Electronics,1000,,11/11/2020,,Credit Card
a106c3b3-b82d-4a07-a1f6-9da7485ad235,05dd4cc2-3dba-4a88-953e-14d9c2af25b9,APPL-00009,Fridge,Appliances,1000,7,6/14/2023,6/16/2023,
b07b1c19-92c5-46e8-8591-73020eee4673,c5c22aa6-5402-487a-b4ba-3fe88d5c0c0f,APPL-00004,Shelves,Appliances,100,9,10/26/2020,,PayPal
cfd677d9-f83d-4478-9b7d-d84f1b2123fb,c7db7eb9-13e6-4ab2-8b38-3b05af00fd36,INST-00004,Flute,Instruments,100,5,1/21/2020,1/23/2020,PayPal
,1785c367-24e2-454d-8998-760c8bdd626f,APPL-00004,Shelves,Appliances,100,8,1/27/2021,1/31/2021,Cash
4ee047e2-bf9f-4093-bbbd-1806714e13ca,,APPL-00005,Rack,Appliances,50,2,5/18/2021,5/22/2021,
e82a661e-89fc-4bcc-a046-3487db294fa5,adf40e10-7da7-434b-8947-d63f181827bd,APPL-00006,Stool,Appliances,,7,4/27/2022,4/30/2022,PayPal
aff64eb2-4f76-4665-bedf-e33a74920039,bb395bf8-869e-40e1-85e0-bad58da5b064,APPL-00005,Rack,Appliances,50,9,1/5/2021,1/11/2021,Cash
8e18a607-a56e-4048-a930-d9690dba9327,327aafd6-d7ae-455c-9e0f-50a2b9693981,CLOT-00005,Pants,Clothes,60,8,6/1/2022,,
e348a8ad-fdaf-4e3e-a519-2cbd6b825ca3,82e20c1a-03ed-4630-aa23-a58641aff9e5,INST-00004,Flute,Instruments,100,,4/30/2022,5/5/2022,Credit Card
,3041de04-7a15-4d70-a80a-6810326d9c04,APPL-00008,TV,Appliances,1000,5,11/9/2021,11/14/2021,Cash
d4d14863-a3f9-423f-ab1f-9e974a2d24f6,82e20c1a-03ed-4630-aa23-a58641aff9e5,APPL-00001,Chair,Appliances,,10,2/22/2023,3/3/2023,Cash
1e6753ab-20b6-4896-87bc-4121065f120a,82dfa00f-7d38-4c0b-b1b2-b431f31d558e,ELEC-00001,Phone X,Electronics,800,,1/8/2020,1/9/2020,Credit Card
c6c76ff4-7433-47e5-abd4-ec1de23d3a90,93377bed-d6eb-4123-b731-91a9a46af300,APPL-00011,Microwave,Appliances,200,3,11/7/2021,11/13/2021,PayPal
5b1c21a2-35e2-422f-98c2-7122909ad0f8,1ee2d0a8-113a-43d6-a2a4-1fa70d75ec33,APPL-00005,,Appliances,50,3,10/29/2021,11/1/2021,Cash
b8f35b65-9c46-4dec-9449-bd169536eec0,,APPL-00010,AC,Appliances,800,7,7/2/2020,7/3/2020,Cash
f9c5d7e4-cb31-4578-a336-ebe1f0f023ff,82dfa00f-7d38-4c0b-b1b2-b431f31d558e,CLOT-00002,Skirt,Clothes,50,9,7/26/2021,8/1/2021,Credit Card
e9ff4813-0552-41ed-bb1d-d5debe063d13,b924a758-db81-446a-b478-03ed1176a3c6,ELEC-00002,Laptop A,Electronics,1000,4,8/17/2020,8/17/2020,PayPal
4d4ed298-a0f7-4ef0-afad-735dc856e514,1b6118d2-3cdf-4c55-b206-90e6705243b9,ELEC-00003,Laptop B,Electronics,2000,7,2/17/2022,2/20/2022,PayPal
64ee85e6-11ea-4747-a72b-9736a4891393,82dfa00f-7d38-4c0b-b1b2-b431f31d558e,INST-00002,Drum,Instruments,1000,4,1/8/2023,1/15/2023,PayPal
7bf800fd-bc1c-4c77-8820-c15c010dbfd0,01d43552-50ca-4f6e-88d9-8916636bb747,ELEC-00004,Tablet A,Electronics,400,8,9/14/2020,9/17/2020,PayPal
4f3f5583-1c5d-4a8b-b65b-fd6c90ecd6c2,6a2bf7f3-1ce9-410d-8b62-b8a0469a1f18,APPL-00005,Rack,Appliances,50,,7/12/2021,,Cash
4397f1bb-5c86-4589-800b-ab0e056c0e7d,483e85e8-de23-46ea-ac02-d01f6504c13e,APPL-00003,Wardrobe,Appliances,500,3,9/25/2022,10/4/2022,Cash
8c1e7f93-5142-4939-bc5b-be80a5c11deb,406d31ee-2810-4ef2-bade-09524cfd21f1,INST-00001,Guitar,Instruments,500,,11/23/2020,11/25/2020,Credit Card
aebdbed9-9be2-45b6-9c60-cd4f516e8c07,b5c1c1e2-7b13-4071-9a29-817cc77e69bf,APPL-00010,AC,Appliances,800,5,7/11/2021,7/18/2021,PayPal
